,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,SchemeType,RightToReply,Distance,NewRatingPending,links,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,geocode.longitude,geocode.latitude,meta.dataSource,meta.extractDate,meta.itemCount,meta.returncode,meta.totalCount,meta.totalPages,meta.pageSize,meta.pageNumber
0,943267,0,237805,174 Trust,Caring Premises,5,The 174 Trust,,1 Duncairn Avenue,Belfast,BT15 2AJ,,5,fhrs_5_en-gb,2019-09-12T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/943267'}]",5.0,5.0,0.0,-5.936459,54.613263,,0001-01-01T00:00:00,0,,0,0,0,0
1,59857,0,131208,2 Taps Winebar,Restaurant/Cafe/Canteen,1,,,42 Waring Street,Belfast,BT1 2ED,,5,fhrs_5_en-gb,2019-08-29T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/59857'}]",5.0,5.0,5.0,-5.925803,54.601509,,0001-01-01T00:00:00,0,,0,0,0,0
2,950179,0,238630,227 Restaurant,Restaurant/Cafe/Canteen,1,,,93a Cregagh Road,Belfast,BT6 8PY,,5,fhrs_5_en-gb,2019-05-15T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/950179'}]",5.0,5.0,5.0,-5.898986,54.583713,,0001-01-01T00:00:00,0,,0,0,0,0
3,59385,0,130776,28 Trench Park,Caring Premises,5,,,28 Trench Park,Belfast,BT11 9FG,,5,fhrs_5_en-gb,2017-05-15T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/59385'}]",5.0,5.0,5.0,-5.995859,54.568537,,0001-01-01T00:00:00,0,,0,0,0,0
4,930238,0,236331,3 Levels,Restaurant/Cafe/Canteen,1,,,31 University Road,Belfast,BT7 1NA,,5,fhrs_5_en-gb,2020-01-29T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/930238'}]",5.0,5.0,5.0,-5.936527,54.58746,,0001-01-01T00:00:00,0,,0,0,0,0
5,1292495,0,257535,3 Levels Chinese,Restaurant/Cafe/Canteen,1,Ground Floor,,31 University Road,Belfast,BT7 1NA,,5,fhrs_5_en-gb,2021-03-02T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1292495'}]",5.0,5.0,5.0,-5.9361546,54.5866168,,0001-01-01T00:00:00,0,,0,0,0,0
6,960601,0,239482,387 Ormeau Road,Restaurant/Cafe/Canteen,1,,,387 Ormeau Road,Belfast,BT7 3GP,,5,fhrs_5_en-gb,2019-09-13T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/960601'}]",0.0,0.0,5.0,-5.918682,54.577288,,0001-01-01T00:00:00,0,,0,0,0,0
7,59194,0,130588,39 Gordon Street and Lux,Restaurant/Cafe/Canteen,1,,,2-16 Dunbar Street,Belfast,BT1 2LH,,5,fhrs_5_en-gb,2014-12-12T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/59194'}]",0.0,0.0,0.0,-5.925871,54.602309,,0001-01-01T00:00:00,0,,0,0,0,0
8,1302159,0,257974,3fortysevencakes,Manufacturers/packers,7839,,,,,BT9 ,,5,fhrs_5_en-gb,2021-02-04T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1302159'}]",5.0,0.0,0.0,,,,0001-01-01T00:00:00,0,,0,0,0,0
9,1060016,0,247078,44 Hill Street,Restaurant/Cafe/Canteen,1,,,44 Hill Street,Belfast,BT1 2LB,,5,fhrs_5_en-gb,2019-03-28T00:00:00,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,FHRS,,,False,"[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1060016'}]",5.0,5.0,5.0,-5.9273099899292,54.6023178100586,,0001-01-01T00:00:00,0,,0,0,0,0
